Time,Vehicle X,Vehicle Y,Curvature
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0
1.73079e+09,0,0,0.466286
1.73079e+09,0,0,0.466286
1.73079e+09,0,0,0.220978
1.73079e+09,0,0,0.220978
1.73079e+09,0,0,0.220978
1.73079e+09,0,0,0.0972987
1.73079e+09,0,0,0.0972987
1.73079e+09,0,0,0.0972987
1.73079e+09,0,0,0.0972987
1.73079e+09,0,0,0.217112
1.73079e+09,0,0,0.217112
1.73079e+09,0,0,0.217112
1.73079e+09,0,0,0.356764
1.73079e+09,0,0,0.356764
1.73079e+09,0,0,0.356764
1.73079e+09,0,0,0.32131
1.73079e+09,0,0,0.32131
1.73079e+09,0,0,0.32131
1.73079e+09,0,0,0.32131
1.73079e+09,0,0,0.501798
1.73079e+09,0,0,0.501798
1.73079e+09,0,0,0.501798
1.73079e+09,0,0,0.226163
1.73079e+09,0,0,0.226163
1.73079e+09,0,0,0.226163
1.73079e+09,0,0,0.0918203
1.73079e+09,0,0,0.0918203
1.73079e+09,0,0,0.0918203
1.73079e+09,0,0,0.159328
1.73079e+09,0,0,0.159328
1.73079e+09,0,0,0.159328
1.73079e+09,0,0,0.159328
1.73079e+09,0,0,0.144177
1.73079e+09,0,0,0.144177
1.73079e+09,0,0,0.144177
1.73079e+09,0,0,0.205604
1.73079e+09,0,0,0.205604
1.73079e+09,0,0,0.205604
1.73079e+09,0,0,0.522959
1.73079e+09,0,0,0.522959
1.73079e+09,0,0,0.522959
1.73079e+09,0,0,0.522959
1.73079e+09,0,0,0.174568
1.73079e+09,0,0,0.174568
1.73079e+09,0,0,0.174568
1.73079e+09,0,0,0.0099453
1.73079e+09,0,0,0.0099453
1.73079e+09,0,0,0.0099453
1.73079e+09,0,0,0.266012
1.73079e+09,0,0,0.266012
1.73079e+09,0,0,0.266012
1.73079e+09,0,0,0.266012
1.73079e+09,0,0,0.350239
1.73079e+09,0,0,0.350239
1.73079e+09,0,0,0.350239
1.73079e+09,0,0,0.728724
1.73079e+09,0,0,0.728724
1.73079e+09,0,0,0.728724
1.73079e+09,0,0,0.189109
1.73079e+09,0,0,0.189109
1.73079e+09,0,0,0.189109
1.73079e+09,0,0,0.0696646
1.73079e+09,0,0,0.0696646
1.73079e+09,0,0,0.0696646
1.73079e+09,0,0,0.0696646
1.73079e+09,0,0,0.33957
1.73079e+09,0,0,0.33957
1.73079e+09,0,0,0.33957
1.73079e+09,0,0,0.188005
1.73079e+09,0,0,0.188005
1.73079e+09,0,0,0.188005
1.73079e+09,0,0,0.17353
1.73079e+09,0,0,0.17353
1.73079e+09,0,0,0.17353
1.73079e+09,0,0,0.17353
1.73079e+09,0,0,0.256533
1.73079e+09,0,0,0.256533
1.73079e+09,0,0,0.256533
1.73079e+09,0,0,0.210367
1.73079e+09,0,0,0.210367
1.73079e+09,0,0,0.210367
1.73079e+09,0,0,0.423798
1.73079e+09,0,0,0.423798
1.73079e+09,0,0,0.423798
1.73079e+09,0,0,0.423798
1.73079e+09,0,0,0.0479694
1.73079e+09,0,0,0.0479694
1.73079e+09,0,0,0.0479694
1.73079e+09,0,0,0.12641
1.73079e+09,0,0,0.12641
1.73079e+09,0,0,0.12641
1.73079e+09,0,0,0.109338
1.73079e+09,0,0,0.109338
1.73079e+09,0,0,0.109338
1.73079e+09,0,0,0.232605
1.73079e+09,0,0,0.232605
1.73079e+09,0,0,0.232605
1.73079e+09,0,0,0.232605
1.73079e+09,0,0,0.861277
1.73079e+09,0,0,0.861277
1.73079e+09,0,0,0.861277
1.73079e+09,0,0,0.0587611
1.73079e+09,0,0,0.0587611
1.73079e+09,0,0,0.0587611
1.73079e+09,0,0,0.011425
1.73079e+09,0,0,0.011425
1.73079e+09,0,0,0.011425
1.73079e+09,0,0,0.011425
1.73079e+09,0,0,0.413976
1.73079e+09,0,0,0.413976
1.73079e+09,0,0,0.413976
1.73079e+09,0,0,0.200141
1.73079e+09,0,0,0.200141
1.73079e+09,0,0,0.200141
1.73079e+09,0,0,0.0184179
1.73079e+09,0,0,0.0184179
1.73079e+09,0,0,0.0184179
1.73079e+09,0,0,0.0184179
1.73079e+09,0,0,0.210433
1.73079e+09,0,0,0.210433
1.73079e+09,0,0,0.210433
1.73079e+09,0,0,0.253221
1.73079e+09,0,0,0.253221
1.73079e+09,0,0,0.253221
1.73079e+09,0,0,0.395592
1.73079e+09,0,0,0.395592
1.73079e+09,0,0,0.395592
1.73079e+09,0,0,0.726562
1.73079e+09,0,0,0.726562
1.73079e+09,0,0,0.726562
1.73079e+09,0,0,0.726562
1.73079e+09,0,0,0.0266956
1.73079e+09,0,0,0.0266956
1.73079e+09,0,0,0.0266956
1.73079e+09,0,0,0.113385
1.73079e+09,0,0,0.113385
1.73079e+09,0,0,0.113385
1.73079e+09,0,0,0.381239
1.73079e+09,0,0,0.381239
